"column","raw_skew","transform_method","transformed_column","transformed_skew","transform_applied"
"rank",-0.00635022146172196,"","",,FALSE
"net_worth",10.0009925041033,"log","log_net_worth",1.31822045101756,TRUE
"age",-0.0779679707722716,"","",,FALSE
"selfMade_numeric",-0.80288626482216,"","",,FALSE
"birthYear",0.0870410474032464,"","",,FALSE
"birthMonth",0.150315143701079,"","",,FALSE
"birthDay",0.337887592333469,"","",,FALSE
"cpi_country",2.57249687269389,"log","log_cpi_country",1.96183042115383,TRUE
"cpi_change_country",4.30208094708719,"log","log_cpi_change_country",-0.298661121475193,TRUE
"gdp_country_numeric",-0.0779580155542011,"","",,FALSE
"gross_tertiary_education_enrollment",-0.225630003393373,"","",,FALSE
"gross_primary_education_enrollment_country",2.31496122716227,"log","log_gross_primary_education_enrollment_country",1.95677693494816,TRUE
"life_expectancy_country",-1.03605314252007,"exp","exp_life_expectancy_country",-0.508346652213637,TRUE
"tax_revenue_country_country",1.61222644074889,"log","",-4.80723564992176,FALSE
"total_tax_rate_country",0.210629387727657,"","",,FALSE
"population_country",0.863954805476731,"","",,FALSE
"latitude_country",-1.73035980508174,"exp","exp_latitude_country",-0.943886011688994,TRUE
"longitude_country",-0.145896884742252,"","",,FALSE
"log_net_worth",1.31822045101756,"log","log_log_net_worth",0.989936505011763,TRUE
